sport.id,sport.athlete_id,sport.name,sport.result,sport.points
1,1,aidat,21.3,254
2,2,aidat,21.6,234
3,3,aidat,25.8,38
4,4,aidat,0,0
5,5,aidat,21.8,221
6,6,aidat,20.7,296
7,7,aidat,21.8,221
8,8,aidat,19,432
1,1,pituus,5.45,472
2,2,pituus,4.7,326
3,3,pituus,4.2,239
4,4,pituus,4.28,252
5,5,pituus,5.17,416
6,6,pituus,4.5,291
7,7,pituus,4.71,328
8,8,pituus,5.31,443
1,1,kuula,8.36,389
2,2,kuula,8.44,392
3,3,kuula,9.06,430
4,4,kuula,8.8,414
5,5,kuula,8.9,420
6,6,kuula,9.09,432
7,7,kuula,7.73,351
8,8,kuula,9.04,428
1,1,satanen,13.9,327
2,2,satanen,13.7,356
3,3,satanen,14.9,197
4,4,satanen,13.6,372
5,5,satanen,13.5,387
6,6,satanen,13.9,327
7,7,satanen,14.3,272
8,8,satanen,13.5,387
1,1,korkeus,1.8,627
2,2,korkeus,1.55,426
3,3,korkeus,1.3,250
4,4,korkeus,1.4,318
5,5,korkeus,0,0
6,6,korkeus,1.35,283
7,7,korkeus,1.5,389
8,8,korkeus,1.5,389
1,1,seivas,2,140
2,2,seivas,1.14,9
3,3,seivas,1.14,9
4,4,seivas,1.14,9
5,5,seivas,1.14,9
6,6,seivas,1.14,9
7,7,seivas,1.34,32
8,8,seivas,2.2,179
1,1,neljasataa,69.5,148
2,2,neljasataa,61.7,357
3,3,neljasataa,104,0
4,4,neljasataa,73,82
5,5,neljasataa,71.1,116
6,6,neljasataa,65.7,240
7,7,neljasataa,67.5,194
8,8,neljasataa,63.8,293
1,1,kiekko,15.7,193
2,2,kiekko,22.65,322
3,3,kiekko,17.6,227
4,4,kiekko,23.7,342
5,5,kiekko,19.43,261
6,6,kiekko,26.6,398
7,7,kiekko,20.4,280
8,8,kiekko,27.35,413
1,1,keihas,31.5,320
2,2,keihas,32.9,340
3,3,keihas,25.9,242
4,4,keihas,34.4,362
5,5,keihas,31.5,320
6,6,keihas,29.8,296
7,7,keihas,25.8,241
8,8,keihas,31.3,318
1,1,tuhatviisisataa,376,203
2,2,tuhatviisisataa,291,613
3,3,tuhatviisisataa,0,0
4,4,tuhatviisisataa,0,0
5,5,tuhatviisisataa,0,0
6,6,tuhatviisisataa,372,217
7,7,tuhatviisisataa,365,244
8,8,tuhatviisisataa,357,276
9,9,aidat,21.4,247
10,10,aidat,20.4,318
11,11,aidat,21.7,227
12,12,aidat,25.1,60
13,13,aidat,20.5,311
14,14,aidat,19.7,373
15,15,aidat,21.5,240
16,16,aidat,20.8,289
17,17,aidat,20.9,282
18,18,aidat,17.9,534
9,9,pituus,0,0
10,10,pituus,5.51,483
11,11,pituus,4.83,350
12,12,pituus,4.2,239
13,13,pituus,5.2,421
14,14,pituus,5.5,481
15,15,pituus,4.42,276
16,16,pituus,4.99,380
17,17,pituus,4.96,375
18,18,pituus,5.9,565
9,9,kuula,7.66,346
10,10,kuula,7.92,362
11,11,kuula,8.01,367
12,12,kuula,8.66,406
13,13,kuula,9.05,429
14,14,kuula,9.16,435
15,15,kuula,8.99,425
16,16,kuula,8.34,386
17,17,kuula,8.18,377
18,18,kuula,10.31,504
9,9,satanen,0,0
10,10,satanen,14,312
11,11,satanen,13.8,341
12,12,satanen,15.3,153
13,13,satanen,13.5,387
14,14,satanen,12.5,556
15,15,satanen,13.8,341
16,16,satanen,13.9,327
17,17,satanen,13.6,371
18,18,satanen,12.3,593
9,9,korkeus,0,0
10,10,korkeus,1.7,544
11,11,korkeus,1.45,352
12,12,korkeus,1.35,283
13,13,korkeus,1.45,352
14,14,korkeus,1.5,389
15,15,korkeus,1.3,250
16,16,korkeus,1.55,426
17,17,korkeus,1.25,218
18,18,korkeus,1.5,389
9,9,seivas,0,0
10,10,seivas,2.2,179
11,11,seivas,1.14,9
12,12,seivas,1.14,9
13,13,seivas,1.54,61
14,14,seivas,1.74,93
15,15,seivas,1.14,9
16,16,seivas,2,140
17,17,seivas,0,0
18,18,seivas,2.2,179
9,9,neljasataa,0,0
10,10,neljasataa,68.6,168
11,11,neljasataa,58.7,458
12,12,neljasataa,88.5,0
13,13,neljasataa,71.8,102
14,14,neljasataa,69.6,146
15,15,neljasataa,65.7,240
16,16,neljasataa,62,348
17,17,neljasataa,69.4,150
18,18,neljasataa,60.2,406
9,9,kiekko,0,0
10,10,kiekko,15.39,187
11,11,kiekko,22.11,312
12,12,kiekko,17.33,222
13,13,kiekko,22.13,312
14,14,kiekko,20.36,279
15,15,kiekko,20.63,284
16,16,kiekko,22.15,313
17,17,kiekko,17.44,224
18,18,kiekko,26.24,391
9,9,keihas,0,0
10,10,keihas,31.23,317
11,11,keihas,30.22,302
12,12,keihas,25.15,232
13,13,keihas,35.18,373
14,14,keihas,37.02,399
15,15,keihas,29.59,293
16,16,keihas,28.85,283
17,17,keihas,28.14,273
